optimizer,evaluations,runs,best_mae_median,best_mae_q25,best_mae_q75,gap_closed,gap_closed_q25,gap_closed_q75,cap,share_of_evaluations_meeting_cap,share_of_random_meeting_cap,median_random_meeting_cap,best_known_meeting_cap
random search,86,50,0.29331441951859905,0.2869973339305115,0.29676796654923365,0.4463694112505507,0.4117262886900176,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,87,50,0.29331441951859905,0.2869973339305115,0.29676796654923365,0.4463694112505507,0.4117262886900176,0.5097371801884708,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,88,50,0.2930221428206974,0.2866590931570183,0.2964666406677755,0.44930128893374977,0.4147489402854405,0.513130131396939,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,89,50,0.2928020403737509,0.28627586988905124,0.29589985171600164,0.45150917432746285,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,90,50,0.2928020403737509,0.28627586988905124,0.29589985171600164,0.45150917432746285,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,91,50,0.2928020403737509,0.28627586988905124,0.29589985171600164,0.45150917432746285,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,92,50,0.2928020403737509,0.28627586988905124,0.29589985171600164,0.45150917432746285,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,93,50,0.2924738158129282,0.28627586988905124,0.29589985171600164,0.45480165118881594,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,94,50,0.2924738158129282,0.28627586988905124,0.29589985171600164,0.45480165118881594,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,95,50,0.2924738158129282,0.28627586988905124,0.29589985171600164,0.45480165118881594,0.4204344974671102,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,96,50,0.29222015375401955,0.28627586988905124,0.2946951256212222,0.45734617880572015,0.4325193115388755,0.5169743097221413,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,97,50,0.2919679762539641,0.2861070128869794,0.2942787169326868,0.4598758145581616,0.43669637850922166,0.5186681432695319,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,98,50,0.2919679762539641,0.2861070128869794,0.2942787169326868,0.4598758145581616,0.43669637850922166,0.5186681432695319,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,99,50,0.2919679762539641,0.2861070128869794,0.2942787169326868,0.4598758145581616,0.43669637850922166,0.5186681432695319,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search,100,50,0.2919679762539641,0.2861070128869794,0.2942787169326868,0.4598758145581616,0.43669637850922166,0.5186681432695319,157.0,0.25,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,1,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,2,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,3,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,4,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,5,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,6,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,7,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,8,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,9,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,10,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,11,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,12,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,13,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,14,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,15,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,16,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,17,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,18,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,19,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,20,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,21,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,22,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,23,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,24,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,25,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,26,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,27,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,28,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,29,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,30,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,31,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,32,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,33,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,34,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,35,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,36,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,37,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,38,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,39,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,40,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,41,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,42,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,43,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,44,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,45,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,46,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,47,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,48,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,49,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,50,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,51,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,52,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,53,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,54,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,55,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
random search in the box,56,50,inf,,,-3.1401975801648203,-3.1401975801648203,-3.1401975801648203,157.0,0.0,0.24993,0.33781265295863727,0.23812339935281387
