mapping,family,objective,r2_hgb,lin_share,n_eff,top_share,nn_autocorr,nn_autocorr_mp_alloys,within_share,categorical_share,nn_dist_median,at_lowest_median,median,best,spearman_mae
random mixing 0,random mixing,runtime,0.9235413934244168,0.9020712855276485,9.631649044421767,0.18269265518946146,0.9405328127742094,0.910073563375301,0.012762265813294277,0.0002826133178088896,0.7484691278638826,0.0,182.53298880212668,58.687574841269054,-0.2676517050423046
random mixing 0,random mixing,model_size,0.9603218722687068,0.9778072165536938,14.883301052545496,0.10892587008685792,0.9491519898686295,0.9410219106307935,,6.46989798703142e-06,0.7484691278638826,0.0,25737815.983420525,4889175.463999294,-0.13820118639204743
elemental mixing 0,elemental mixing,mae,0.8178386227713604,0.6536500499456882,11.641445824485015,0.15701600973631566,0.8853058273756184,0.8332083396283605,0.011596628439108471,0.5153862318207288,0.7615941529953634,0.0,0.3203219112192274,0.22775343806531467,0.9999999999999999
elemental mixing 0,elemental mixing,runtime,0.913681845372666,0.954634688172144,14.253960178478437,0.1470549573134211,0.9207809557259897,0.889057567557717,0.02369841092947704,0.00030333964209012284,0.7615941529953634,0.0,180.2323566063813,62.67384473595262,-0.29800998817146823
elemental mixing 0,elemental mixing,model_size,0.9720166217492667,0.9775988985740445,7.934415789814286,0.22638621082234767,0.9622162139069501,0.9570261624473051,,3.7722732529501895e-06,0.7615941529953634,0.0,28388335.98435709,1964803.6316182269,-0.11285211226079295
random mixing 1,random mixing,mae,0.8266694092109859,0.7675060349352165,12.863826421212622,0.14973921916839592,0.8755554112282397,0.8856606080724465,0.027467710100178892,0.631294755099603,0.738641185723496,0.0,0.2990214111084803,0.23439291141787605,0.9999999999999999
random mixing 1,random mixing,runtime,0.9528296313225391,0.8961141628879661,14.51777431966226,0.10565669608459806,0.9449453364926286,0.9261564008984791,0.00906614960832341,0.00011874931124782548,0.738641185723496,0.0,225.02179364460545,71.19742446226299,-0.4440616333730677
random mixing 1,random mixing,model_size,0.9727225445236762,0.9837505478351432,12.812789827728256,0.10781209522404285,0.9603822906304499,0.9443092195352539,,6.960756426997687e-06,0.738641185723496,0.0,26257785.705590792,4406927.953175998,-0.2143850208314008
elemental mixing 1,elemental mixing,mae,0.8457417391152227,0.7072589790576852,14.415394547027732,0.1465514098345234,0.8698345257282278,0.8721065209109274,0.03498320335895634,0.6824001081664739,0.7520809476230763,0.0,0.31643540734461617,0.22186236879312754,0.9999999999999999
elemental mixing 1,elemental mixing,runtime,0.9572421987590758,0.9557063154211468,8.023960065127165,0.24006988623257566,0.947971914451267,0.9605978565868017,0.00888963428113319,0.000192367260489763,0.7520809476230763,0.0,137.3790344367377,37.439492060219244,-0.24346081133827152
elemental mixing 1,elemental mixing,model_size,0.9795812809480967,0.9657886285848669,8.486495188140008,0.23263033284540632,0.9644868683578031,0.9624725054514448,,8.823026179639458e-07,0.7520809476230763,0.0,18083004.354785487,1984090.229455296,-0.4703720169588806
random mixing 2,random mixing,mae,0.8375869687848394,0.7500077751804477,13.990875646395999,0.12703336272777632,0.8695928529310264,0.8497042618235441,0.0177072768636339,0.6026530869782064,0.7388958990537636,0.0,0.31004561259226415,0.2370537464362971,0.9999999999999999
random mixing 2,random mixing,runtime,0.9317500086733113,0.9130953939822617,10.69560389810858,0.18970915402245425,0.9387923013087204,0.9366155775117806,0.010095491457283699,0.00012301090196611058,0.7388958990537636,0.0,211.4652550545906,36.15840771497902,-0.5894578483505187
random mixing 2,random mixing,model_size,0.9657751150313324,0.9770924045615731,10.627087745874226,0.16878865064650558,0.958474576014704,0.9191259676563351,,3.586073986168908e-06,0.7388958990537636,0.0,22416366.714549772,5052567.031392053,-0.22483508924940354
elemental mixing 2,elemental mixing,mae,0.8827325329010504,0.8304959934094152,10.554781285547332,0.19739492257754704,0.923792340715766,0.9405976562389514,0.01383953828709145,0.5159133623389582,0.7780269243223891,0.0,0.31790590814134134,0.2503036905043711,0.9999999999999999
elemental mixing 2,elemental mixing,runtime,0.9672876602122672,0.9284159497127241,13.111596922045925,0.13070459970698034,0.9548520682991593,0.9622461534693288,0.013774105069642315,0.0004141015795926199,0.7780269243223891,0.0,293.3133861305634,45.52506158405926,-0.7856148257005093
elemental mixing 2,elemental mixing,model_size,0.9811937358165298,0.9910062910231278,7.927028765521129,0.24286961218270153,0.9679579686057198,0.9448482545101725,,1.8934307534056886e-06,0.7780269243223891,0.0,20625016.50338637,5846009.926048003,0.394482576515303
